"","Control1","Control2","Control3","M1","M2","M3"
"Rsf1",2.103524,2.617645,2.798491,2.237343,1.469175,1.624247
"Nrcam",0.167996,0.159635,0.138781,0.075114,0.09638,0.127052
"Midn",8.585967,10.602464,9.441463,9.241278,10.19519,11.073072
"Tent2",8.56073,8.74142,11.330045,9.150114,8.625487,10.076975
"Gm9774",1.01597,1.156254,0.885149,1.070673,0.900002,1.053605
"Sdc1",7.408279,12.328415,9.986276,12.227411,6.112399,13.701101
"Lpin1",80.045511,66.331921,90.784305,74.34854,72.178209,90.112281
"Snx13",7.061895,6.945158,10.876693,7.881963,5.378857,4.881433
"Ntsr2",2.52327,4.368939,3.026761,4.524463,3.226416,4.935807
"Abca8b",1.81991,1.919002,4.097063,1.366227,1.525545,2.005365
"Rdh14",23.118242,17.036507,19.034664,20.714104,23.324684,18.578993
"Nt5c1b",0,0,0,0.025696,0,0
"Map2k6",2.507784,2.931552,3.36694,2.177401,2.955532,2.827116
"Efna3",0.110867,0.332074,0.338452,0.342531,0.140673,0.168625
"Klhl29",0.526137,0.453273,0.638341,0.310125,0.280588,0.515167
"Dnajb4",34.196059,26.597106,44.18157,31.577238,35.084695,29.414218
"Adi1",45.559105,43.808964,50.001694,39.921757,39.581539,47.396088
"Ifi44",0.646098,1.119272,1.628846,1.061005,0.433687,0.955668
"Ptgfr",0.921653,1.249058,3.997421,1.52242,0.895727,2.098696
"Dkk2",0.468037,0.258834,0.340022,0.339833,0.169905,0.15077
"Tbck",2.074715,2.428265,2.751672,2.42681,2.196455,2.240878
"Kcnq5",0.775103,0.996884,1.457793,1.032645,0.994918,1.035442
"Papss1",28.079168,43.553101,29.816984,23.995932,19.113586,28.221966
"Pea15a",36.620837,38.189813,70.801191,38.449163,32.966044,52.292754
"Mroh9",0,0,0,0,0,0
"Vmn1r4",0.018595,0.039514,0.021524,0.077375,0.095418,0.086749
"Rpain",5.697334,7.383383,6.158394,6.7399,5.487684,6.325301
"Derl2",13.019191,12.915434,13.165656,13.87235,14.658242,13.47992
"C1qbp",69.310677,63.472221,58.19326,65.547546,85.805824,71.525208
"B630019K06Rik",0.259603,0.806086,0.604525,0.593602,0.472823,0.508156
"Dis3l",7.697548,6.156681,8.168062,5.856155,7.642574,8.462086
"Igdcc3",0.012836,0.035906,0.138809,0.071567,0.024224,0.12901
"Dpp8",20.151758,16.550024,28.153218,15.929945,16.390872,20.482722
"Parp16",8.099521,7.117612,7.030948,7.639026,10.134683,8.98079
"Zdhhc19",0,0,0,0,0.019196,0
"Tmem106c",14.89162,19.093585,20.376089,19.767199,17.762031,19.836836
"Rpl4",419.950958,642.556763,454.460846,467.664368,348.289429,437.215729
